method,v2i_network,v2v_network,n_vehicles,total_delay_s,tx_delay_s,queue_delay_s,compute_delay_s,v2i_bytes,v2v_bytes,total_bytes,v2v_energy_j,v2i_energy_j,leader_compute_energy_j,cloud_compute_energy_j,self_compute_energy_j,total_energy_j,sweep_param,sweep_value
CITRON,4G,DSRC,3,0.11212146474444445,0.09215146474444445,0.0,0.01997,402329.06999999995,515806.5,918135.57,0.25790325,0.40232906999999996,1.4200000000000002,2.574,0.0,4.65423232,overlap_fraction,0.2
CITRON,4G,DSRC,3,0.11150249694444445,0.09153249694444444,0.0,0.01997,371380.68,515806.5,887187.1799999999,0.25790325,0.37138068,1.4200000000000002,2.574,0.0,4.6232839299999995,overlap_fraction,0.3
CITRON,4G,DSRC,3,0.11088352914444444,0.09091352914444444,0.0,0.01997,340432.29,515806.5,856238.79,0.25790325,0.34043228999999997,1.4200000000000002,2.574,0.0,4.59233554,overlap_fraction,0.4
CITRON,4G,DSRC,3,0.11026456134444443,0.09029456134444444,0.0,0.01997,309483.89999999997,515806.5,825290.3999999999,0.25790325,0.3094839,1.4200000000000002,2.574,0.0,4.56138715,overlap_fraction,0.5
CITRON,4G,DSRC,3,0.10964559354444445,0.08967559354444445,0.0,0.01997,278535.51,515806.5,794342.01,0.25790325,0.27853551,1.4200000000000002,2.574,0.0,4.53043876,overlap_fraction,0.6
CITRON,4G,DSRC,3,0.10861398054444443,0.08864398054444445,0.0,0.01997,226954.86000000002,515806.5,742761.36,0.25790325,0.22695486,1.4200000000000002,2.574,0.0,4.47885811,resize_factor,0.4
CITRON,4G,DSRC,3,0.10974875484444443,0.08977875484444443,0.0,0.01997,283693.575,515806.5,799500.075,0.25790325,0.28369357500000003,1.4200000000000002,2.574,0.0,4.535596825,resize_factor,0.5
CITRON,4G,DSRC,3,0.11088352914444444,0.09091352914444444,0.0,0.01997,340432.29,515806.5,856238.79,0.25790325,0.34043228999999997,1.4200000000000002,2.574,0.0,4.59233554,resize_factor,0.6
CITRON,4G,DSRC,3,0.11201830344444444,0.09204830344444445,0.0,0.01997,397171.005,515806.5,912977.505,0.25790325,0.397171005,1.4200000000000002,2.574,0.0,4.649074255,resize_factor,0.7
CITRON,4G,DSRC,3,0.11315307774444444,0.09318307774444445,0.0,0.01997,453909.72000000003,515806.5,969716.22,0.25790325,0.45390972,1.4200000000000002,2.574,0.0,4.70581297,resize_factor,0.8
CITRON,4G,DSRC,3,0.11542262634444445,0.09545262634444444,0.0,0.01997,567387.15,515806.5,1083193.65,0.25790325,0.5673871500000001,1.4200000000000002,2.574,0.0,4.8192904,resize_factor,1.0
CITRON,4G,DSRC,3,0.11088352914444444,0.09091352914444444,0.0,0.01997,340432.29,515806.5,856238.79,0.25790325,0.34043228999999997,0.35500000000000004,2.574,0.0,3.5273355399999997,leader_power_w,50.0
CITRON,4G,DSRC,3,0.11088352914444444,0.09091352914444444,0.0,0.01997,340432.29,515806.5,856238.79,0.25790325,0.34043228999999997,0.5680000000000001,2.574,0.0,3.74033554,leader_power_w,80.0
CITRON,4G,DSRC,3,0.11088352914444444,0.09091352914444444,0.0,0.01997,340432.29,515806.5,856238.79,0.25790325,0.34043228999999997,0.7100000000000001,2.574,0.0,3.8823355399999997,leader_power_w,100.0
CITRON,4G,DSRC,3,0.11088352914444444,0.09091352914444444,0.0,0.01997,340432.29,515806.5,856238.79,0.25790325,0.34043228999999997,1.0650000000000002,2.574,0.0,4.23733554,leader_power_w,150.0
CITRON,4G,DSRC,3,0.11088352914444444,0.09091352914444444,0.0,0.01997,340432.29,515806.5,856238.79,0.25790325,0.34043228999999997,1.4200000000000002,2.574,0.0,4.59233554,leader_power_w,200.0
ODO,4G,N/A,2,0.085898065,0.06041596825,0.0,0.02574,515806.5,0.0,515806.5,0.0,0.5158065,0.0,5.148,0.0,5.6638065,n_vehicles,2.0
SOD,N/A,N/A,2,0.1287,0.0,0.0,0.1287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.592000000000002,20.592000000000002,n_vehicles,2.0
CITRON,4G,DSRC,2,0.09642465352222221,0.07950465352222222,0.0,0.016919999999999998,247587.12,257903.25,505490.37,0.128951625,0.24758712,0.8099999999999999,2.574,0.0,3.760538745,n_vehicles,2.0
ODO,4G,N/A,3,0.09876806499999999,0.0606738715,0.0,0.03861,773709.75,0.0,773709.75,0.0,0.77370975,0.0,7.7219999999999995,0.0,8.49570975,n_vehicles,3.0
SOD,N/A,N/A,3,0.1287,0.0,0.0,0.1287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.888000000000005,30.888000000000005,n_vehicles,3.0
CITRON,4G,DSRC,3,0.11088352914444444,0.09091352914444444,0.0,0.01997,340432.29,515806.5,856238.79,0.25790325,0.34043228999999997,1.4200000000000002,2.574,0.0,4.59233554,n_vehicles,3.0
ODO,4G,N/A,4,0.11163806499999998,0.06093177475,0.0,0.05148,1031613.0,0.0,1031613.0,0.0,1.031613,0.0,10.296,0.0,11.327613,n_vehicles,4.0
SOD,N/A,N/A,4,0.1287,0.0,0.0,0.1287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.184000000000005,41.184000000000005,n_vehicles,4.0
CITRON,4G,DSRC,4,0.12534240476666667,0.10232240476666667,0.0,0.02302,433277.45999999996,773709.75,1206987.21,0.386854875,0.43327745999999995,2.03,2.574,0.0,5.4241323349999995,n_vehicles,4.0
ODO,4G,N/A,5,0.12450806499999997,0.061189678,0.0,0.06434999999999999,1289516.25,0.0,1289516.25,0.0,1.28951625,0.0,12.869999999999997,0.0,14.159516249999998,n_vehicles,5.0
SOD,N/A,N/A,5,0.1287,0.0,0.0,0.1287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.480000000000004,51.480000000000004,n_vehicles,5.0
CITRON,4G,DSRC,5,0.1398012803888889,0.11373128038888888,0.0,0.02607,526122.63,1031613.0,1557735.63,0.5158065,0.52612263,2.64,2.574,0.0,6.25592913,n_vehicles,5.0
ODO,4G,N/A,6,0.13737806499999997,0.06144758125,0.0,0.07722,1547419.5,0.0,1547419.5,0.0,1.5474195,0.0,15.443999999999999,0.0,16.9914195,n_vehicles,6.0
SOD,N/A,N/A,6,0.1287,0.0,0.0,0.1287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.77600000000001,61.77600000000001,n_vehicles,6.0
CITRON,4G,DSRC,6,0.1542601560111111,0.12514015601111111,0.0,0.02912,618967.7999999999,1289516.25,1908484.0499999998,0.644758125,0.6189678,3.25,2.574,0.0,7.087725925,n_vehicles,6.0
